kwic,frequence,pourcentage
"donner un fierté",18, 0.00263
"célébrer le fierté",17, 0.00248
"éprouver un fierté",16, 0.00234
"ressentir un fierté",16, 0.00234
"ravaler votre fierté",16, 0.00234
"partager son fierté",16, 0.00234
"être ce fierté",15, 0.00219
"rester un fierté",15, 0.00219
"redonner leur fierté",15, 0.00219
"montrer votre fierté",15, 0.00219
"montrer leur fierté",15, 0.00219
"garder le fierté",15, 0.00219
"flatter le fierté",15, 0.00219
"développer le fierté",15, 0.00219
"retirer un fierté",14, 0.00205
"manifester son fierté",14, 0.00205
"manifester leur fierté",14, 0.00205
"exalter le fierté",14, 0.00205
"avoir leur fierté",14, 0.00205
"afficher le fierté",14, 0.00205
"éprouver aucun fierté",13, 0.00190
"revendiquer le fierté",13, 0.00190
"partager leur fierté",13, 0.00190
"inculquer le fierté",13, 0.00190
"exprimer notre fierté",13, 0.00190
"affirmer notre fierté",13, 0.00190
"afficher un fierté",13, 0.00190
"être votre fierté",12, 0.00175
"être ton fierté",12, 0.00175
"voir son fierté",12, 0.00175
"symboliser le fierté",12, 0.00175
"incarner le fierté",12, 0.00175
"heurter le fierté",12, 0.00175
"dire leur fierté",12, 0.00175
"cultiver le fierté",12, 0.00175
"étayer le fierté",11, 0.00161
"retrouver notre fierté",11, 0.00161
"rappeler le fierté",11, 0.00161
"promouvoir le fierté",11, 0.00161
"lire le fierté",11, 0.00161
"laisser son fierté",11, 0.00161
"découvrir le fierté",11, 0.00161
"traduire le fierté",10, 0.00146
"réveiller le fierté",10, 0.00146
"refléter le fierté",10, 0.00146
"ravaler ton fierté",10, 0.00146
"prendre le fierté",10, 0.00146
"perdre mon fierté",10, 0.00146
"oublier le fierté",10, 0.00146
"garder ton fierté",10, 0.00146
"exprimer votre fierté",10, 0.00146
"blesser le fierté",10, 0.00146
"avaler votre fierté",10, 0.00146
"avaler son fierté",10, 0.00146
"étayer son fierté",9, 0.00131
"souligner son fierté",9, 0.00131
"rétablir le fierté",9, 0.00131
"raviver le fierté",9, 0.00131
"perdre tout fierté",9, 0.00131
"nourrir le fierté",9, 0.00131
"mettre notre fierté",9, 0.00131
"confier son fierté",9, 0.00131
"avoir quelque fierté",9, 0.00131
"avoir notre fierté",9, 0.00131
"afficher votre fierté",9, 0.00131
"accroître le fierté",9, 0.00131
"évoquer son fierté",8, 0.00117
"voir leur fierté",8, 0.00117
"témoigner son fierté",8, 0.00117
"tirer leur fierté",8, 0.00117
"revendiquer son fierté",8, 0.00117
"revendiquer leur fierté",8, 0.00117
"recouvrer son fierté",8, 0.00117
"proclamer son fierté",8, 0.00117
"montrer notre fierté",8, 0.00117
"mettre ton fierté",8, 0.00117
"manifester le fierté",8, 0.00117
"exprimer un fierté",8, 0.00117
"exister un fierté",8, 0.00117
"déclarer son fierté",8, 0.00117
"concevoir un fierté",8, 0.00117
"éprouver quelque fierté",7, 0.00102
"trouver un fierté",7, 0.00102
"savoir le fierté",7, 0.00102
"retirer aucun fierté",7, 0.00102
"ressentir ce fierté",7, 0.00102
"renforcer leur fierté",7, 0.00102
"ranger son fierté",7, 0.00102
"proclamer le fierté",7, 0.00102
"placer son fierté",7, 0.00102
"perdre le fierté",7, 0.00102
"partager votre fierté",7, 0.00102
"partager ce fierté",7, 0.00102
"oublier son fierté",7, 0.00102
"mettre votre fierté",7, 0.00102
"laisser le fierté",7, 0.00102
"illustrer le fierté",7, 0.00102
"enseigner le fierté",7, 0.00102
"démontrer le fierté",7, 0.00102
"créer un fierté",7, 0.00102
"conserver son fierté",7, 0.00102
"cest un fierté",7, 0.00102
"cest le fierté",7, 0.00102
"alimenter le fierté",7, 0.00102
"abandonner tout fierté",7, 0.00102
"valoriser le fierté",6, 0.00088
"transmettre le fierté",6, 0.00088
"susciter un fierté",6, 0.00088
"stimuler le fierté",6, 0.00088
"signifier le fierté",6, 0.00088
"servir le fierté",6, 0.00088
"satisfaire le fierté",6, 0.00088
"réaffirmer son fierté",6, 0.00088
"ranger mon fierté",6, 0.00088
"rabaisser son fierté",6, 0.00088
"procurer un fierté",6, 0.00088
"porter le fierté",6, 0.00088
"perdre leur fierté",6, 0.00088
"garder leur fierté",6, 0.00088
"encourager le fierté",6, 0.00088
"défendre son fierté",6, 0.00088
"conserver le fierté",6, 0.00088
"connaître le fierté",6, 0.00088
"compter le fierté",6, 0.00088
"cacher leur fierté",6, 0.00088
"briser le fierté",6, 0.00088
"avoir ton fierté",6, 0.00088
"apporter un fierté",6, 0.00088
"apporter le fierté",6, 0.00088
"admirer le fierté",6, 0.00088
"abattre son fierté",6, 0.00088
"éveiller le fierté",5, 0.00073
"vivre le fierté",5, 0.00073
"transmettre ce fierté",5, 0.00073
"sentir un fierté",5, 0.00073
"revendiquer un fierté",5, 0.00073
"ressentir quelque fierté",5, 0.00073
"rendre notre fierté",5, 0.00073
"regarder le fierté",5, 0.00073
"regagner son fierté",5, 0.00073
"recouvrer leur fierté",5, 0.00073
"rappeler son fierté",5, 0.00073
"ramener le fierté",5, 0.00073
"prôner le fierté",5, 0.00073
"partager mon fierté",5, 0.00073
