kwic,frequence,pourcentage
"déplorer le mépris",15, 0.00219
"affronter le mépris",15, 0.00219
"voir aucun mépris",14, 0.00205
"justifier le mépris",14, 0.00205
"voir un mépris",13, 0.00190
"signifier le mépris",13, 0.00190
"prôner le mépris",13, 0.00190
"préférer le mépris",13, 0.00190
"manifester leur mépris",13, 0.00190
"manifester le mépris",13, 0.00190
"impliquer le mépris",13, 0.00190
"exciter le mépris",13, 0.00190
"essuyer le mépris",13, 0.00190
"encourir le mépris",13, 0.00190
"confirmer le mépris",13, 0.00190
"signifier son mépris",12, 0.00175
"ressentir un mépris",12, 0.00175
"comprendre le mépris",12, 0.00175
"être leur mépris",11, 0.00161
"transpirer le mépris",11, 0.00161
"jeter le mépris",11, 0.00161
"endurer le mépris",11, 0.00161
"cultiver le mépris",11, 0.00161
"verser le mépris",10, 0.00146
"refléter le mépris",10, 0.00146
"puer le mépris",10, 0.00146
"porter le mépris",10, 0.00146
"oublier le mépris",10, 0.00146
"lire le mépris",10, 0.00146
"développer un mépris",10, 0.00146
"compter le mépris",10, 0.00146
"choisir le mépris",10, 0.00146
"apprendre le mépris",10, 0.00146
"accepter le mépris",10, 0.00146
"venir le mépris",9, 0.00131
"représenter le mépris",9, 0.00131
"reprocher son mépris",9, 0.00131
"renforcer le mépris",9, 0.00131
"professer un mépris",9, 0.00131
"opposer le mépris",9, 0.00131
"entraîner le mépris",9, 0.00131
"cesser le mépris",9, 0.00131
"alimenter le mépris",9, 0.00131
"aimer le mépris",9, 0.00131
"affirmer son mépris",9, 0.00131
"venir ce mépris",8, 0.00117
"ressentir le mépris",8, 0.00117
"refléter un mépris",8, 0.00117
"prouver le mépris",8, 0.00117
"produire le mépris",8, 0.00117
"masquer son mépris",8, 0.00117
"marquer un mépris",8, 0.00117
"inspirer un mépris",8, 0.00117
"imaginer le mépris",8, 0.00117
"encourager le mépris",8, 0.00117
"désigner le mépris",8, 0.00117
"dénoter un mépris",8, 0.00117
"découvrir le mépris",8, 0.00117
"dissimuler son mépris",8, 0.00117
"devenir le mépris",8, 0.00117
"crier son mépris",8, 0.00117
"constituer un mépris",8, 0.00117
"condamner le mépris",8, 0.00117
"clamer son mépris",8, 0.00117
"cacher leur mépris",8, 0.00117
"attiser le mépris",8, 0.00117
"afficher votre mépris",8, 0.00117
"étaler son mépris",7, 0.00102
"symboliser le mépris",7, 0.00102
"révéler son mépris",7, 0.00102
"respirer le mépris",7, 0.00102
"regretter le mépris",7, 0.00102
"proclamer son mépris",7, 0.00102
"nourrir un mépris",7, 0.00102
"naître le mépris",7, 0.00102
"mériter notre mépris",7, 0.00102
"mériter ce mépris",7, 0.00102
"marquer leur mépris",7, 0.00102
"impliquer aucun mépris",7, 0.00102
"ignorer le mépris",7, 0.00102
"hurler son mépris",7, 0.00102
"fustiger le mépris",7, 0.00102
"frôler le mépris",7, 0.00102
"faire le mépris",7, 0.00102
"déclarer son mépris",7, 0.00102
"donner le mépris",7, 0.00102
"craindre le mépris",7, 0.00102
"confirmer son mépris",7, 0.00102
"avoir nul mépris",7, 0.00102
"avoir ce mépris",7, 0.00102
"augmenter le mépris",7, 0.00102
"affecter le mépris",7, 0.00102
"venger le mépris",6, 0.00088
"transformer le mépris",6, 0.00088
"trahir le mépris",6, 0.00088
"tourner le mépris",6, 0.00088
"souffrir le mépris",6, 0.00088
"savoir quel mépris",6, 0.00088
"retrouver le mépris",6, 0.00088
"refuser le mépris",6, 0.00088
"refuser ce mépris",6, 0.00088
"prêcher le mépris",6, 0.00088
"professer le mépris",6, 0.00088
"pratiquer le mépris",6, 0.00088
"partager ce mépris",6, 0.00088
