kwic,frequence,pourcentage
"cacher notre honte",5, 0.00073
"boire tout honte",5, 0.00073
"boire le honte",5, 0.00073
"apprendre ton honte",5, 0.00073
"être ton honte",4, 0.00058
"épargner un honte",4, 0.00058
"y''a aucun honte",4, 0.00058
"voir mon honte",4, 0.00058
"vivre ce honte",4, 0.00058
"vaincre mon honte",4, 0.00058
"trouver le honte",4, 0.00058
"supporter son honte",4, 0.00058
"sortir le honte",4, 0.00058
"sentir leur honte",4, 0.00058
"révéler le honte",4, 0.00058
"racheter le honte",4, 0.00058
"pleurer mon honte",4, 0.00058
"percevoir le honte",4, 0.00058
"paraître un honte",4, 0.00058
"paraître le honte",4, 0.00058
"observer le honte",4, 0.00058
"noyer son honte",4, 0.00058
"noyer mon honte",4, 0.00058
"nommer le honte",4, 0.00058
"nai aucun honte",4, 0.00058
"mériter le honte",4, 0.00058
"montrer le honte",4, 0.00058
"montrer aucun honte",4, 0.00058
"manifester son honte",4, 0.00058
"lire le honte",4, 0.00058
"limiter un honte",4, 0.00058
"inscrire le honte",4, 0.00058
"incarner le honte",4, 0.00058
"imposer le honte",4, 0.00058
"importer le honte",4, 0.00058
"finir le honte",4, 0.00058
"faire son honte",4, 0.00058
"etes un honte",4, 0.00058
"est-à-dire le honte",4, 0.00058
"désigner le honte",4, 0.00058
"dépasser ce honte",4, 0.00058
"dénoncer ce honte",4, 0.00058
"définir le honte",4, 0.00058
"dire notre honte",4, 0.00058
"diminuer le honte",4, 0.00058
"côtoyer le honte",4, 0.00058
"créer le honte",4, 0.00058
"considérer le honte",4, 0.00058
"connaître son honte",4, 0.00058
"confier son honte",4, 0.00058
"cacher ce honte",4, 0.00058
"balayer le honte",4, 0.00058
"avouer le honte",4, 0.00058
"avoir mon honte",4, 0.00058
"atténuer le honte",4, 0.00058
"accompagner le honte",4, 0.00058
"éviter un honte",3, 0.00044
"évacuer le honte",3, 0.00044
"éprouver nul honte",3, 0.00044
"vouloir le honte",3, 0.00044
"voir votre honte",3, 0.00044
"voir nul honte",3, 0.00044
"voir ce honte",3, 0.00044
"voiler le honte",3, 0.00044
"vider le honte",3, 0.00044
"venir ton honte",3, 0.00044
"vaincre son honte",3, 0.00044
"tappe le honte",3, 0.00044
"taire leur honte",3, 0.00044
"supprimer le honte",3, 0.00044
"suivre un honte",3, 0.00044
